Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
noeg,@noe_noeg,2024-10-13T16:45:51.000Z,False,Kata siapa 1 paket dan tidak bisa di kudeta,0,0,0,8,[],[],[],https://pbs.twimg.com/profile_images/617949986903330816/Dlp_CCsf_normal.jpg,https://x.com/noe_noeg/status/1845506246021120505,tweet_id:1845506246021120505
gustie_,@gustiek_,2024-10-13T16:45:46.000Z,False,Pemimpin jaman sekarang model model kayak #pemabuk #fufufafa #ndasmuetik #IndonesiaBersedih,0,0,0,18,"['#pemabuk', '#fufufafa', '#ndasmuetik', '#IndonesiaBersedih']","['@bahlillahadalia', '@gibran_tweet', '@prabowo']","['\\U0001f923', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1844381457600667648/5dLtLNMq_normal.jpg,https://x.com/gustiek_/status/1845506223065698457,tweet_id:1845506223065698457
Aria Nugroho,@aria_nugrohoo,2024-10-13T16:45:45.000Z,False,Terima kasih Prabowo-Gibran Program ini jamin kebutuhan gizi anak-anak #MakanBergiziUntukBangsa,0,0,0,8,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1691718820933799936/nNfoqUrG_normal.jpg,https://x.com/aria_nugrohoo/status/1845506219236274462,tweet_id:1845506219236274462
wearestalker,@panjiwirantanus,2024-10-13T16:45:21.000Z,False,"Harus doowngh
Narsum mereka kan A1 semua. Ampe ga berani dimuat namanya kan berarti mereka A1 smua dong itu ",0,0,0,10,[],[],['\\U0001f60f'],https://pbs.twimg.com/profile_images/1724183009782636544/qBa1TEq0_normal.jpg,https://x.com/panjiwirantanus/status/1845506120590483525,tweet_id:1845506120590483525
NeoJES,@proclaro_lover,2024-10-13T16:44:54.000Z,False,"Jelang Pelantikan, 
Presiden Terpilih Prabowo Subianto  - didampingi Gibran Rakabuming - berkunjung ke kediaman pribadi Presiden Joko Widodo di Solo. 

Terlihat perbincangan menarik di meja makan. Hmm……. 

Jantung aman? ",0,3,7,104,[],[],['\\U0001f609'],https://pbs.twimg.com/profile_images/1283227826099875846/rWKonqbZ_normal.jpg,https://x.com/proclaro_lover/status/1845506006484496844,tweet_id:1845506006484496844
Aung Myint Oo,@AungMinOo444,2024-10-13T16:44:47.000Z,False,............... Vote  ,0,0,0,14,[],['@jokowi'],"['\\U0001f47d', '\\U0001f602', '\\U0001f602', '\\U0001f602', '\\U0001f923', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1299524502376734725/R_L1HZZL_normal.jpg,https://x.com/AungMinOo444/status/1845505976172003340,tweet_id:1845505976172003340
$King Korps,@king_b10ends,2024-10-13T16:44:39.000Z,False,jangan lupa bayar hutang tanah dari para Sultan di Kalimantan.... Salam Fufufafa,0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1726548146275381248/kLCJaMHw_normal.jpg,https://x.com/king_b10ends/status/1845505944001933323,tweet_id:1845505944001933323
Ikmam Musidik,@ikmamusidik,2024-10-13T16:44:09.000Z,False,Khawatir banget kah pak,0,0,0,23,[],[],[],https://pbs.twimg.com/profile_images/1599395495793012736/LXXB8x1z_normal.jpg,https://x.com/ikmamusidik/status/1845505817963036679,tweet_id:1845505817963036679
Firza Husain,@FirzaHusain,2024-10-13T16:44:00.000Z,False,Menghitung hari pa ,0,2,2,74,[],[],"['\\U0001f60a', '\\U0001f60a']",https://pbs.twimg.com/profile_images/1090519222143266817/zkKyDAVi_normal.jpg,https://x.com/FirzaHusain/status/1845505780876972524,tweet_id:1845505780876972524
Noks32,@Triaswa32,2024-10-13T16:43:40.000Z,False,#TerimakasihPakJokowi#TerimakasihPakJokowiDan dilanjutkan oleh Prabowo Gibran.....,0,0,0,1,"['#TerimakasihPakJokowi', '#TerimakasihPakJokowi']",[],"['\\U0001f601', '\\U0001f44d']",https://pbs.twimg.com/profile_images/1767987058772168704/X9q5_BW6_normal.jpg,https://x.com/Triaswa32/status/1845505694986092713,tweet_id:1845505694986092713
°Knight,@anglingdarma69,2024-10-13T16:43:36.000Z,False,"Prof, bukanya katanya dl Pak Prabowo lebih bagus dan kompeten drpada calon lainnya? Klo sekarang susunan kabinet bakal diisi sama yg ga kompeten? 
Berarti rugi dong ga sesuai harapan  di awal dl.
Bisa jd beneran bubar tuh ga sampe thn 2030 seperti katanya",0,0,0,12,[],[],[],https://pbs.twimg.com/profile_images/1843301159605620737/xfJx7Gg__normal.jpg,https://x.com/anglingdarma69/status/1845505678666023325,tweet_id:1845505678666023325
