Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Uta,@_Utamy_,2024-10-13T15:11:20.000Z,False,bisni jago  erick jago bikin utang tajam   janganajakerick  prabowoselamatkanbumn  kawalprabowountukbumn  kawalbumn,0,0,0,9,"['#JanganAjakErick', '#PrabowoSelamatkanBUMN', '#KawalPrabowountukBUMN', '#KawalBUMN']","['@prabowo', '@jokowi', '@KawalBUMN']",[],https://pbs.twimg.com/profile_images/1633726458714791937/PQ0oqb07_normal.jpg,https://x.com/_Utamy_/status/1845482460668379350,tweet_id:1845482460668379350
@Topi_Merah,@Topi_Merah,2024-10-13T15:11:17.000Z,False,orma bentuk utk perlu ambisi politik bentur anak bangsa  alas keoentingan aman lantik gibran  prabowo tgl 20 okt 2024  tni  polri sesuai tugas katalis dinamis negara ,2,8,16,533,[],[],[],https://pbs.twimg.com/profile_images/1807784011005296640/odF1YR4K_normal.jpg,https://x.com/Andria75777/status/1845482445380235648,tweet_id:1845482445380235648
Valisa,@valiisaa,2024-10-13T15:11:04.000Z,True,ngobrolin  tri tri yg isi period prabowo   mbok usul  stok obat pasien kroni jgn kosong spironolacton kosong lo  pasien hipertensi pasien jantung gimana  terapi switch obat anti,4,11,65,7.5K,[],[],[],https://pbs.twimg.com/profile_images/1826650619953954816/N7RmXscN_normal.jpg,https://x.com/valiisaa/status/1845482390896210422,tweet_id:1845482390896210422
zeyd Amar,@zeydamaryahooc1,2024-10-13T15:11:03.000Z,False,iyain aja  tegak adil,0,0,0,2,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1185401015559786497/5pD243wq_normal.jpg,https://x.com/zeydamaryahooc1/status/1845482388614525275,tweet_id:1845482388614525275
Tawon Ndas,@NtupNdase,2024-10-13T15:11:02.000Z,True,besok hadir gak lantik   ,0,0,0,37,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1619510744005111810/Gb0d3xXD_normal.jpg,https://x.com/NtupNdase/status/1845482384512446616,tweet_id:1845482384512446616
pendaki gunung,@pbima8345,2024-10-13T15:10:55.000Z,False,maksud nya  paham prabowo solo  ancam ,1,0,0,282,[],[],[],https://pbs.twimg.com/profile_images/1813232062012563457/nJj-TivF_normal.jpg,https://x.com/pbima8345/status/1845482353420112343,tweet_id:1845482353420112343
Imenkz Betth,@Sairil_Imam93,2024-10-13T15:10:41.000Z,False,sebentar ,0,0,0,232,[],[],[],https://pbs.twimg.com/profile_images/1066634381882679297/lSdL2kTd_normal.jpg,https://x.com/Sairil_Imam93/status/1845482296423706753,tweet_id:1845482296423706753
SHOPEEFOOD NYA UDAH NYAMPE PAK PRABOWO,@MardaniJgMw,2024-10-13T15:10:28.000Z,True,hah anjirrrr,0,0,0,17,[],[],"['\\U0001f626', '\\U0001f626', '\\U0001f626', '\\U0001f633', '\\U0001f633', '\\U0001f633', '\\U0001f633']",https://pbs.twimg.com/profile_images/1836914275430060033/cCAarJGZ_normal.jpg,https://x.com/MardaniJgMw/status/1845482242279112886,tweet_id:1845482242279112886
Crypto Addict,@CryptoAddict27,2024-10-13T15:10:23.000Z,False,sebar banso solo jelang pilkada  revolusi mental bangun miskin banso awoakwoakk,0,0,0,54,[],[],"['\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001faf5', '\\U0001faf5']",https://pbs.twimg.com/profile_images/1781653505859874816/y1Xs-x_q_normal.jpg,https://x.com/CryptoAddict27/status/1845482222209642988,tweet_id:1845482222209642988
Gilang,@_GilangRam,2024-10-13T15:10:22.000Z,False,indonesia ladang bisni om erick  mend foku jdi ketua pssi aja   janganajakerick  prabowoselamatkanbumn  kawalprabowountukbumn  kawalbumn,0,0,0,8,"['#JanganAjakErick', '#PrabowoSelamatkanBUMN', '#KawalPrabowountukBUMN', '#KawalBUMN']","['@prabowo', '@jokowi', '@KawalBUMN']",[],https://pbs.twimg.com/profile_images/1633045068142776320/USeZZe5x_normal.jpg,https://x.com/_GilangRam/status/1845482216287285719,tweet_id:1845482216287285719
hatuwe sampit,@muhammadabdia15,2024-10-13T15:09:50.000Z,False,pikir  sebentar bapak presiden mana tempat dek kaesang sandar  hadap,0,0,0,62,[],[],[],https://pbs.twimg.com/profile_images/1603978140329869312/CJLTB7y9_normal.jpg,https://x.com/muhammadabdia15/status/1845482083357192253,tweet_id:1845482083357192253
"Sayed, Langitku biru!",@BeckoID77,2024-10-13T15:09:36.000Z,False,sih show rakyat prabowo lindung mulyono lantik mulyono lupa,0,0,0,19,[],[],['\\U0001f923'],https://pbs.twimg.com/profile_images/1757611062718087168/hQkgmr95_normal.jpg,https://x.com/BeckoID77/status/1845482024074944556,tweet_id:1845482024074944556
ISJET,@iskandarjet,2024-10-13T15:09:35.000Z,True,ingat kera prabowo fufufafa,0,0,0,14,[],[],['\\U0001f447'],https://pbs.twimg.com/profile_images/1299531321266434048/jVaMnlua_normal.jpg,https://x.com/iskandarjet/status/1845482020941771041,tweet_id:1845482020941771041
Country Road,@Earthwithoutyou,2024-10-13T15:09:34.000Z,False,misi prajurit ga tanggung ,0,0,0,54,[],"['@prabowo', '@Puspen_TNI', '@tni_ad']",[],https://pbs.twimg.com/profile_images/1675432353127354368/fUpoU3MM_normal.jpg,https://x.com/Earthwithoutyou/status/1845482015287898601,tweet_id:1845482015287898601
